job_title,company,job_board,location,work_mode,experience_required,salary_lpa,match_score,matched_skills,why_selected,job_url,posted_date,job_description,apply_status,data_source
Technical Lead,Geekyants,naukri,Gurugram,onsite,1-5 Yrs,,52,microservices,"- Skills: 50% match (1 aligned: microservices) | - Experience: requires 1-5 Yrs, user has 9.0y | - Role: Technical Lead (match: 100%) | - Location: Gurugram | - Salary:  | - Posted: 1 week ago",https://www.naukri.com/job-listings-technical-lead-geekyants-gurugram-1-to-5-years-250326503785,1 week ago,Experience building cloud-native architectures and microservices using KubernetesProven...,Skipped,scraped
Technical Lead C# WPF,Quest Global,naukri,"Bengaluru, Thiruvananthapuram",onsite,7-10 Yrs,,46,,"- Skills: 0% match (0 aligned: ) | - Experience: requires 7-10 Yrs, user has 9.0y | - Role: Technical Lead C# WPF (match: 100%) | - Location: Bengaluru, Thiruvananthapuram | - Salary:  | - Posted: 1 day ago",https://www.naukri.com/job-listings-technical-lead-c-wpf-quest-global-bengaluru-thiruvananthapuram-7-to-10-years-040426009354,1 day ago,Job DescriptionRoles & Responsibilities:Lead and mentor a team of software engineers (...,Skipped,scraped
TECHNICAL LEAD - NodeJs,Happiest Minds Technologies,naukri,Bengaluru,onsite,8-11 Yrs,,45,,"- Skills: 0% match (0 aligned: ) | - Experience: requires 8-11 Yrs, user has 9.0y | - Role: TECHNICAL LEAD - NodeJs (match: 100%) | - Location: Bengaluru | - Salary:  | - Posted: 2 days ago",https://www.naukri.com/job-listings-technical-lead-nodejs-happiest-minds-technologies-bengaluru-8-to-11-years-030426019631,2 days ago,"At C3, you are a step beyond individual contribution you own a defined module or workst...",Skipped,scraped
D365 Technical Lead,Proso Ai Technologies,naukri,Noida,onsite,3-8 Yrs,,45,,"- Skills: 0% match (0 aligned: ) | - Experience: requires 3-8 Yrs, user has 9.0y | - Role: D365 Technical Lead (match: 100%) | - Location: Noida | - Salary:  | - Posted: 2 days ago",https://www.naukri.com/job-listings-d365-technical-lead-proso-ai-technologies-noida-3-to-8-years-200226017356,2 days ago,Location: Noida (Work From Office)Experience: 3-10 YearsPreferred Location: Noida / NCR...,Skipped,scraped
GEN AI Technical LEAD(5-8 YEARS),Infosys,naukri,"Hybrid - Hyderabad, Mysuru, Bengaluru",onsite,5-8 Yrs,,45,,"- Skills: 0% match (0 aligned: ) | - Experience: requires 5-8 Yrs, user has 9.0y | - Role: GEN AI Technical LEAD(5-8 YEARS) (match: 100%) | - Location: Hybrid - Hyderabad, Mysuru, Bengaluru | - Salary:  | - Posted: Today",https://www.naukri.com/job-listings-gen-ai-technical-lead-5-8-years-infosys-hyderabad-mysuru-bengaluru-5-to-8-years-080126032189,Today,INFOSYS Hirings for GEN AI TECHNICAL LEADEXPERIENCE: 5-10 yearsMANDATORY SKILLS: GEN AI...,Skipped,scraped
Technical Lead,Intelliflo Fintech India Private Limited,naukri,Hybrid - Hyderabad,onsite,6-11 Yrs,,45,,"- Skills: 0% match (0 aligned: ) | - Experience: requires 6-11 Yrs, user has 9.0y | - Role: Technical Lead (match: 100%) | - Location: Hybrid - Hyderabad | - Salary:  | - Posted: Today",https://www.naukri.com/job-listings-technical-lead-intelliflo-fintech-india-private-limited-hyderabad-6-to-11-years-050426002807,Today,Experience working in an Agile / Scrum development process Must demonstrate a strong cu...,Skipped,scraped
Technical Leader - Platform Automation,Rockwell Automation,naukri,"Pune, Bengaluru",onsite,8-13 Yrs,,45,,"- Skills: 0% match (0 aligned: ) | - Experience: requires 8-13 Yrs, user has 9.0y | - Role: Technical Leader - Platform Automation (match: 100%) | - Location: Pune, Bengaluru | - Salary:  | - Posted: 2 days ago",https://www.naukri.com/job-listings-technical-leader-platform-automation-rockwell-automation-pune-bengaluru-8-to-13-years-030426506498,2 days ago,Rockwell Automation is looking for a Technical Leader to deliver our Platform Automatio...,Skipped,scraped
Technical Lead,Infinite,naukri,Bengaluru,onsite,6-11 Yrs,,45,,"- Skills: 0% match (0 aligned: ) | - Experience: requires 6-11 Yrs, user has 9.0y | - Role: Technical Lead (match: 100%) | - Location: Bengaluru | - Salary:  | - Posted: 2 days ago",https://www.naukri.com/job-listings-technical-lead-infinite-computer-solutions-india-pvt-ltd-bengaluru-6-to-11-years-030426504666,2 days ago,Job Overview: The candidate Communication and interpersonal skills includin...,Skipped,scraped
Technical Leader - CFD,Atlas Copco,naukri,Pune,onsite,4-7 Yrs,,45,,"- Skills: 0% match (0 aligned: ) | - Experience: requires 4-7 Yrs, user has 9.0y | - Role: Technical Leader - CFD (match: 100%) | - Location: Pune | - Salary:  | - Posted: 2 days ago",https://www.naukri.com/job-listings-technical-leader-cfd-atlas-copco-pune-4-to-7-years-030426503512,2 days ago,"Qualifications: . Masters or PhD in Mechanical Engineering, Aerospace Engineering, Chem...",Skipped,scraped
Technical Lead (Linux),Alten Calsoftlabs,naukri,Pune,onsite,8-10 Yrs,,45,,"- Skills: 0% match (0 aligned: ) | - Experience: requires 8-10 Yrs, user has 9.0y | - Role: Technical Lead (Linux) (match: 100%) | - Location: Pune | - Salary:  | - Posted: 2 days ago",https://www.naukri.com/job-listings-technical-lead-linux-alten-calsoftlabs-pune-8-to-10-years-030426501511,2 days ago,Fit for onsite assignments . Ability for pre-sales support / proposal preparation . Abi...,Skipped,scraped
