job_title,company,job_board,location,work_mode,experience_required,salary_lpa,match_score,matched_skills,why_selected,job_url,posted_date,job_description,apply_status,data_source
Technical Lead,Hiring Mavericks,naukri,Mumbai (All Areas),onsite,5-10 Yrs,,75,ci cd pipelinenode.jsreact.jsrubyawsangularpythontechnical,"- Skills: 100% match (1 aligned: ci cd pipelinenode.jsreact.jsrubyawsangularpythontechnical) | - Experience: requires 5-10 Yrs, user has 9.0y | - Role: Technical Lead (match: 100%) | - Location: Mumbai (All Areas) | - Salary:  | - Posted: 1 day ago",https://www.naukri.com/job-listings-technical-lead-hiring-mavericks-mumbai-mumbai-all-areas-5-to-10-years-040426006864,1 day ago,We are looking for a skilled Technical Lead with 6–7 years of experience in the IT Soft...,Pending,scraped
Java Technical Lead,Mindpro Technologies,naukri,Remote,remote,10-18 Yrs,,71,javaspring bootangularoracleawshibernateci/cdmicroservices,"- Skills: 100% match (1 aligned: javaspring bootangularoracleawshibernateci/cdmicroservices) | - Experience: requires 10-18 Yrs, user has 9.0y | - Role: Java Technical Lead (match: 100%) | - Location: Remote | - Salary:  | - Posted: 1 day ago",https://www.naukri.com/job-listings-java-technical-lead-mindpro-technologies-karur-10-to-18-years-040426013479,1 day ago,"Experience in designing full stack applications, including web applications and RESTful...",Skipped,scraped
Java Technical Specialist / Java Technical Lead,AurumData Solutions,naukri,Hyderabad,onsite,12-18 Yrs,,63,javagcpkafkaspring bootmicroservicesmicrosoft azureapiaws,"- Skills: 100% match (1 aligned: javagcpkafkaspring bootmicroservicesmicrosoft azureapiaws) | - Experience: requires 12-18 Yrs, user has 9.0y | - Role: Java Technical Specialist / Java Technical Lead (match: 100%) | - Location: Hyderabad | - Salary:  | - Posted: 1 day ago",https://www.naukri.com/job-listings-java-technical-specialist-java-technical-lead-aurum-data-solutions-hyderabad-12-to-18-years-040426013525,1 day ago,Very Urgent: Java Technical Specialist / Java Technical LeadCompany: AurumData Solution...,Skipped,scraped
