job_title,company,job_board,location,work_mode,experience_required,salary_lpa,match_score,matched_skills,why_selected,job_url,posted_date,job_description,apply_status,data_source
.Net Technical Lead,Leading Client,naukri,Hyderabad,onsite,10-15 Yrs,,72,microservices,"- Skills: 100% match (1 aligned: microservices) | - Experience: requires 10-15 Yrs, user has 9.0y | - Role: .Net Technical Lead (match: 100%) | - Location: Hyderabad | - Salary:  | - Posted: 3 weeks ago",https://www.naukri.com/job-listings-net-technical-lead-talent21-management-shared-services-pvt-ltd-hyderabad-10-to-15-years-100326910903,3 weeks ago,"Deep experience with C# and .NET, building and maintaining microservices at scaleRequir...",Skipped,scraped
Tech Lead,Heycoach,naukri,Bengaluru,onsite,4-8 Yrs,,69,python,"- Skills: 100% match (1 aligned: python) | - Experience: requires 4-8 Yrs, user has 9.0y | - Role: Tech Lead (match: 70%) | - Location: Bengaluru | - Salary:  | - Posted: 1 week ago",https://www.naukri.com/job-listings-tech-lead-heycoach-bengaluru-4-to-8-years-270326924610,1 week ago,"4+ years of experience in Python, building scalable production systems. Has led project...",Skipped,scraped
Technical Lead,Pinnacleway Business Consulting Llp,naukri,Remote,remote,8-12 Yrs,,66,react; system design,"- Skills: 66% match (2 aligned: react, system design) | - Experience: requires 8-12 Yrs, user has 9.0y | - Role: Technical Lead (match: 100%) | - Location: Remote | - Salary:  | - Posted: Today",https://www.naukri.com/job-listings-technical-lead-pinnacleway-business-consulting-llp-jamshedpur-8-to-12-years-040426000095,Today,"Lead technical architecture & system design for MERN/MEAN stack & React Native. Docker,...",Skipped,scraped
Java Developer,Tata Consultancy Services,naukri,Bengaluru,onsite,7-12 Yrs,,61,nestjs; express,"- Skills: 100% match (2 aligned: nestjs, express) | - Experience: requires 7-12 Yrs, user has 9.0y | - Role: Java Developer (match: 30%) | - Location: Bengaluru | - Salary:  | - Posted: 1 week ago",https://www.naukri.com/job-listings-java-developer-tata-consultancy-services-bengaluru-7-to-12-years-280326000013,1 week ago,"Proficient in frameworks such as Express.js, NestJS, and Fastify . Iindustry experience...",Skipped,scraped
